"Act as if what you do makes a difference. It does.","William James"
"The only way to do great work is to love what you do.","Steve Jobs"
"In the middle of every difficulty lies opportunity.","Albert Einstein"
"Success is not final, failure is not fatal: It is the courage to continue that counts.","Winston Churchill"
"What we think, we become.","Buddha"
